date,open,high,low,close,volume,amount,preclose,pctChg
2020-06-03,4001.1708,4018.6759,3982.9299,3983.6477,13659748300,200882767676.9000,3983.5677,0.002008
2020-06-04,3998.1636,3999.8051,3968.5723,3982.1851,10427773700,149057855837.5000,3983.6477,-0.036715
2020-06-05,3988.2239,4001.2509,3967.9260,4001.2509,10244394200,154311342981.8000,3982.1851,0.478777
2020-06-08,4023.6060,4050.2213,4016.1015,4021.9549,13792581300,193047518687.6000,4001.2509,0.517438
2020-06-09,4027.5613,4052.1557,4016.3387,4047.0293,11530447900,166533966010.0000,4021.9549,0.623438
2020-06-10,4046.2317,4046.2317,4024.4185,4039.7051,11226572800,166778642366.2000,4047.0293,-0.180977
2020-06-11,4031.7396,4043.0123,3979.7522,3995.8846,12730894100,197079441861.1000,4039.7051,-1.084745
2020-06-12,3931.6236,4011.0591,3927.2491,4003.0829,13416664900,193504046742.3000,3995.8846,0.180143
2020-06-15,3982.9672,4007.1396,3954.9883,3954.9883,13129786000,211125336143.8000,4003.0829,-1.201439
2020-06-16,3995.5786,4014.5702,3987.8637,4014.5702,11105153900,185104029158.9000,3954.9883,1.506500
2020-06-17,4018.6094,4018.6094,3992.1339,4017.5941,10560579900,176977503611.2000,4014.5702,0.075323
2020-06-18,4009.7831,4047.5566,4000.9008,4044.3842,13814876100,210192918146.2000,4017.5941,0.666819
2020-06-19,4047.0483,4109.3602,4043.4925,4098.7095,15294699000,255549797299.6000,4044.3842,1.343228
2020-06-22,4097.5071,4126.9421,4088.7822,4102.0459,15582946500,259200520725.7000,4098.7095,0.081401
2020-06-23,4098.0373,4124.7250,4080.7533,4121.7944,12922951000,234806510834.5000,4102.0459,0.481430
2020-06-24,4128.1003,4144.6782,4123.3582,4138.9895,12171246500,224551430008.0000,4121.7944,0.417175
2020-06-29,4127.9348,4137.3696,4092.5352,4109.7164,13086585400,226522059762.9000,4138.9895,-0.707252
2020-06-30,4130.0028,4174.4236,4129.7754,4163.9637,12593352100,227935704488.9000,4109.7164,1.319977
2020-07-01,4172.6425,4247.7835,4163.4954,4247.7835,16999045600,305711799761.9000,4163.9637,2.012981
2020-07-02,4239.4080,4340.1039,4238.1164,4335.8445,25293936800,399571526695.3000,4247.7835,2.073105
2020-07-03,4353.1937,4419.5955,4348.4535,4419.5955,29048553900,442335024266.1000,4335.8445,1.931596
2020-07-06,4465.8081,4678.1121,4465.8081,4670.0949,40582102500,597438217715.6000,4419.5955,5.667926
2020-07-07,4739.6104,4796.3155,4688.0574,4698.1264,40600855300,635254742706.0000,4670.0949,0.600234
2020-07-08,4692.8621,4803.3643,4670.6501,4774.0042,34807484700,532849825964.5000,4698.1264,1.615065
2020-07-09,4770.0769,4854.1201,4757.2943,4840.7712,35104689300,556718732098.9000,4774.0042,1.398553
2020-07-10,4796.0873,4821.3745,4734.4725,4753.1333,31694965100,510472055095.9000,4840.7712,-1.810412
2020-07-13,4742.3738,4878.0773,4741.8743,4852.9612,32164544600,541105098721.0000,4753.1333,2.100255
2020-07-14,4836.1655,4860.4404,4729.9258,4806.6902,29724198500,511211048184.9000,4852.9612,-0.953459
2020-07-15,4821.5155,4837.4757,4723.3608,4744.4687,27238900600,486748347680.4000,4806.6902,-1.294477
2020-07-16,4741.5295,4772.5638,4513.6537,4516.2532,28465713300,511237962884.2000,4744.4687,-4.810138
2020-07-17,4524.7717,4601.3733,4485.8214,4544.7007,20737556300,372973887045.7000,4516.2532,0.629892
2020-07-20,4597.2038,4681.9431,4534.2305,4680.3046,24606891400,416714222275.7000,4544.7007,2.983781
2020-07-21,4697.5026,4714.2925,4661.4440,4691.0425,20041565900,356069805762.6000,4680.3046,0.229427
2020-07-22,4682.6575,4790.4491,4675.3488,4714.4454,22419921100,386470859914.3000,4691.0425,0.498885
2020-07-23,4668.7401,4731.4004,4607.6585,4712.4357,23431456900,405175268660.9000,4714.4454,-0.042629
2020-07-24,4679.0273,4691.6980,4479.3928,4505.5906,24390520300,437726712279.7000,4712.4357,-4.389346
2020-07-27,4535.0053,4558.1189,4482.4408,4528.4500,17142055100,301893370163.2000,4505.5906,0.507356
2020-07-28,4567.6691,4590.2496,4537.6849,4568.2576,16276849800,292835785345.2000,4528.4500,0.879056
2020-07-29,4559.1634,4680.5580,4548.8535,4679.0080,18669530500,350432649160.5000,4568.2576,2.424347
2020-07-30,4689.7632,4704.6305,4649.7677,4656.1506,16696756600,324009242692.4000,4679.0080,-0.488510
2020-07-31,4652.1824,4741.8084,4621.9635,4695.0462,18483902600,351119312415.0000,4656.1506,0.835360
2020-08-03,4735.8985,4771.3694,4720.0250,4771.3108,21477623900,401914824928.3000,4695.0462,1.624363
2020-08-04,4778.4866,4807.0782,4747.7748,4775.8024,23997498500,426411345935.8000,4771.3108,0.094138
2020-08-05,4761.7637,4786.7031,4711.2723,4777.1089,19670054800,347407839399.1000,4775.8024,0.027357
2020-08-06,4779.2377,4791.8565,4691.1569,4762.7642,22785440600,404323404006.9000,4777.1089,-0.300280
2020-08-07,4742.2939,4749.0217,4637.8427,4707.9262,21351821600,397041212825.1000,4762.7642,-1.151390
2020-08-10,4681.7553,4757.6634,4646.2885,4724.8697,20378883200,371297560017.6000,4707.9262,0.359893
